Time,cs:altitude_agl,cs:altitude_amsl,cs:ground_elevation,cs:ground_speed_x,cs:ground_speed_y,cs:ground_speed_z,fc:altitude_raw,fc:control_mode,fc:course,fc:downlink_present,fc:gcs_link_quality,fc:ground_speed,fc:heading,fc:is_armed,fc:latitude,fc:longitude,fc:main_current,fc:main_voltage,fc:pitch,fc:rc_link_quality,fc:remaining_power_level,fc:roll,fc:satellite_count,fc:takeoff_latitude,fc:takeoff_longitude,fc:uplink_present,fc:vertical_speed,gb:heading,gb:pitch,gb:roll
2017-07-18T16:16:46.728,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.49999986802199,false,64.84101148175677,-147.71852695404934,0.992,15.308,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:46.758,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.49999986802199,false,64.84101148175677,-147.71852695404934,0.992,15.308,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:46.866,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.49999986802199,false,64.84101148175677,-147.71852695404934,0.992,15.308,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:47.16,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.49999986802199,false,64.84101148175677,-147.71852695404934,0.992,15.308,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:47.94,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.49999986802199,false,64.84101148175677,-147.71852695404934,0.992,15.308,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:47.159,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.49999986802199,false,64.84101148175677,-147.71852695404934,0.992,15.308,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:47.166,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.49999986802199,false,64.84101148175677,-147.71852695404934,0.992,15.308,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:47.316,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.59999986790774,false,64.84101148175677,-147.71852695404934,0.992,15.308,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:47.468,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.59999986790774,false,64.84101148175677,-147.71852695404934,0.992,15.308,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:47.559,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.59999986790774,false,64.84101148175677,-147.71852695404934,0.992,15.308,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:47.618,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.59999986790774,false,64.84101148175677,-147.71852695404934,0.992,15.308,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:47.768,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.59999986790774,false,64.84101148175677,-147.71852695404934,0.992,15.308,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:47.894,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.59999986790774,false,64.84101148175677,-147.71852695404934,0.992,15.308,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:47.918,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.19999986836478,false,64.84101148175677,-147.71852695404934,0.992,15.308,-2.2999999973718666,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:47.959,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.19999986836478,false,64.84101148175677,-147.71852695404934,0.992,15.308,-2.2999999973718666,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
