Checksum, UNIX Time Stamp, Mission ID, Platform Tail Number, Platform Heading Angle, Platform Pitch Angle, Platform Roll Angle, Platform Designation, Image Source Sensor, Image Coordinate System, Sensor Latitude, Sensor Longitude, Sensor True Altitude, Sensor Horizontal Field of View, Sensor Vertical Field of View, Sensor Relative Azimuth Angle, Sensor Relative Elevation Angle, Sensor Relative Roll Angle
,1518815734292000,,,32.1,0.6,0.0,,,,64.855353,-147.858568,148.3,38.471454284514344,68.66448958100517,359.9,13.200000000000001,,
,1518815734403000,,,32.1,0.6,0.0,,,,64.855353,-147.858568,148.7,38.471454284514344,68.66448958100517,359.9,13.200000000000001,,
,1518815734500000,,,32.1,0.5,0.0,,,,64.855353,-147.858568,149.2,38.471454284514344,68.66448958100517,359.9,13.3,,
,1518815734598000,,,32.1,0.4,0.0,,,,64.855353,-147.858568,149.7,38.471454284514344,68.66448958100517,359.9,13.4,,
,1518815734702000,,,32.1,0.4,0.0,,,,64.855353,-147.858568,150.1,38.471454284514344,68.66448958100517,359.9,13.4,,
,1518815734788000,,,32.1,0.4,0.0,,,,64.855353,-147.858568,150.5,38.471454284514344,68.66448958100517,359.9,13.4,,
,1518815734898000,,,32.1,0.5,0.0,,,,64.855353,-147.858568,151.0,38.471454284514344,68.66448958100517,359.9,13.3,,
,1518815735000000,,,32.0,0.6,0.0,,,,64.855353,-147.858568,151.3,38.471454284514344,68.66448958100517,0.0,13.200000000000001,,
,1518815735099000,,,32.1,0.8,0.0,,,,64.855353,-147.858568,151.7,38.471454284514344,68.66448958100517,359.9,13.0,,
,1518815735198000,,,32.1,0.9,0.0,,,,64.855353,-147.858568,152.2,38.471454284514344,68.66448958100517,359.9,12.9,,
,1518815735292000,,,32.2,0.9,0.0,,,,64.855353,-147.858568,152.5,38.471454284514344,68.66448958100517,359.8,12.9,,
,1518815735403000,,,32.2,1.0,0.0,,,,64.855353,-147.858568,152.8,38.471454284514344,68.66448958100517,359.8,12.8,,
,1518815735491000,,,32.2,1.0,0.0,,,,64.855353,-147.858568,153.2,38.471454284514344,68.66448958100517,359.8,12.8,,
,1518815735595000,,,32.2,1.0,0.0,,,,64.855353,-147.858569,153.5,38.471454284514344,68.66448958100517,359.8,12.8,,
,1518815735690000,,,32.1,1.0,0.0,,,,64.855353,-147.858569,153.7,38.471454284514344,68.66448958100517,359.9,12.8,,
,1518815735791000,,,32.1,1.1,0.0,,,,64.855353,-147.858569,154.2,38.471454284514344,68.66448958100517,359.9,12.700000000000001,,
,1518815735902000,,,32.1,1.1,0.0,,,,64.855353,-147.858569,154.5,38.471454284514344,68.66448958100517,359.9,12.700000000000001,,
,1518815735999000,,,32.1,1.1,0.0,,,,64.855353,-147.858569,154.7,38.471454284514344,68.66448958100517,359.9,12.700000000000001,,
,1518815736100000,,,32.1,1.2,0.0,,,,64.855353,-147.858569,155.1,38.471454284514344,68.66448958100517,359.9,12.600000000000001,,
,1518815736198000,,,32.2,1.2,0.0,,,,64.855353,-147.858569,155.3,38.471454284514344,68.66448958100517,359.8,12.600000000000001,,
,1518815736295000,,,32.2,1.4,0.0,,,,64.855353,-147.858569,155.6,38.471454284514344,68.66448958100517,359.8,12.4,,
,1518815736402000,,,32.2,1.5,0.0,,,,64.855353,-147.858569,155.8,38.471454284514344,68.66448958100517,359.8,12.3,,
,1518815736500000,,,32.2,1.6,0.0,,,,64.855353,-147.858569,156.2,38.471454284514344,68.66448958100517,359.8,12.200000000000001,,
,1518815736603000,,,32.2,1.5,0.0,,,,64.855353,-147.858569,156.5,38.471454284514344,68.66448958100517,359.8,12.3,,
,1518815736691000,,,32.2,1.5,0.0,,,,64.855353,-147.858569,156.7,38.471454284514344,68.66448958100517,359.8,12.3,,
,1518815736791000,,,32.1,1.6,0.0,,,,64.855353,-147.858569,157.1,38.471454284514344,68.66448958100517,359.9,12.200000000000001,,
,1518815736899000,,,32.1,1.8,0.0,,,,64.855353,-147.858569,157.3,38.471454284514344,68.66448958100517,359.9,12.0,,
,1518815736995000,,,32.1,1.9,0.0,,,,64.855352,-147.858569,157.7,38.471454284514344,68.66448958100517,359.9,11.9,,
,1518815737092000,,,32.1,2.1,0.0,,,,64.855352,-147.858569,158.0,38.471454284514344,68.66448958100517,359.9,11.700000000000001,,
,1518815737194000,,,32.1,2.2,0.0,,,,64.855352,-147.858569,158.2,38.471454284514344,68.66448958100517,359.9,11.600000000000001,,
,1518815737300000,,,32.2,2.2,0.0,,,,64.855352,-147.858569,158.5,38.471454284514344,68.66448958100517,359.8,11.600000000000001,,
,1518815737395000,,,32.2,2.4,0.0,,,,64.855352,-147.858569,158.7,38.471454284514344,68.66448958100517,359.8,11.4,,
,1518815737499000,,,32.2,2.2,0.0,,,,64.855352,-147.858569,159.1,38.471454284514344,68.66448958100517,359.8,11.600000000000001,,
,1518815737600000,,,32.2,2.2,0.0,,,,64.855352,-147.858569,159.3,38.471454284514344,68.66448958100517,359.8,11.600000000000001,,
,1518815737690000,,,32.2,2.3,0.0,,,,64.855352,-147.858569,159.7,38.471454284514344,68.66448958100517,359.8,11.5,,
,1518815737800000,,,32.2,2.2,0.0,,,,64.855352,-147.858569,160.0,38.471454284514344,68.66448958100517,359.8,11.600000000000001,,
,1518815737890000,,,32.2,2.2,0.0,,,,64.855352,-147.858569,160.2,38.471454284514344,68.66448958100517,359.8,11.600000000000001,,
,1518815737997000,,,32.2,2.3,0.0,,,,64.855352,-147.858569,160.6,38.471454284514344,68.66448958100517,359.8,11.5,,
,1518815738089000,,,32.3,2.4,0.0,,,,64.855352,-147.858569,160.8,38.471454284514344,68.66448958100517,359.7,11.4,,
,1518815738197000,,,32.3,2.5,0.0,,,,64.855352,-147.858569,161.2,38.471454284514344,68.66448958100517,359.7,11.3,,
,1518815738291000,,,32.3,2.4,0.0,,,,64.855352,-147.858569,161.5,38.471454284514344,68.66448958100517,359.7,11.4,,
,1518815738390000,,,32.2,2.2,0.0,,,,64.855352,-147.858569,161.7,38.471454284514344,68.66448958100517,359.8,11.600000000000001,,
,1518815738490000,,,32.2,2.4,0.0,,,,64.855352,-147.858569,162.0,38.471454284514344,68.66448958100517,359.8,11.4,,
,1518815738592000,,,32.2,2.9,0.0,,,,64.855352,-147.858569,162.4,38.471454284514344,68.66448958100517,359.8,10.9,,
,1518815738700000,,,32.3,3.3,0.0,,,,64.855351,-147.858569,162.7,38.471454284514344,68.66448958100517,359.7,10.5,,
,1518815738797000,,,32.2,3.5,0.0,,,,64.855351,-147.858569,163.0,38.471454284514344,68.66448958100517,359.8,10.3,,
,1518815738902000,,,32.2,3.5,0.0,,,,64.855351,-147.858569,163.2,38.471454284514344,68.66448958100517,359.8,10.3,,
,1518815739105000,,,32.3,3.4,0.0,,,,64.855351,-147.858569,163.9,38.471454284514344,68.66448958100517,359.7,10.4,,
,1518815739206000,,,32.2,3.3,0.0,,,,64.855351,-147.858569,164.2,38.471454284514344,68.66448958100517,359.8,10.5,,
,1518815739298000,,,32.3,3.1,0.0,,,,64.855351,-147.85857,164.5,38.471454284514344,68.66448958100517,359.7,10.700000000000001,,
,1518815739393000,,,32.2,2.9,0.0,,,,64.855351,-147.85857,164.7,38.471454284514344,68.66448958100517,359.8,10.9,,
,1518815739501000,,,32.2,2.9,0.0,,,,64.855351,-147.85857,165.0,38.471454284514344,68.66448958100517,359.8,10.9,,
,1518815739601000,,,32.2,3.0,0.0,,,,64.855351,-147.85857,165.4,38.471454284514344,68.66448958100517,359.8,10.8,,
,1518815739736000,,,32.2,2.9,0.0,,,,64.855351,-147.85857,165.7,38.471454284514344,68.66448958100517,359.8,10.9,,
,1518815739815000,,,32.2,2.7,0.0,,,,64.855352,-147.85857,166.0,38.471454284514344,68.66448958100517,359.8,11.100000000000001,,
,1518815739893000,,,32.2,3.0,0.0,,,,64.855352,-147.85857,166.2,38.471454284514344,68.66448958100517,359.8,10.8,,
,1518815740001000,,,32.2,3.1,0.0,,,,64.855352,-147.85857,166.5,38.471454284514344,68.66448958100517,359.8,10.700000000000001,,
,1518815740098000,,,32.2,3.0,0.0,,,,64.855352,-147.85857,166.9,38.471454284514344,68.66448958100517,359.8,10.8,,
,1518815740209000,,,32.2,3.0,0.0,,,,64.855352,-147.85857,167.2,38.471454284514344,68.66448958100517,359.8,10.8,,
,1518815740295000,,,32.2,3.0,0.0,,,,64.855352,-147.85857,167.5,38.471454284514344,68.66448958100517,359.8,10.8,,
,1518815740424000,,,32.2,3.0,0.0,,,,64.855352,-147.85857,167.7,38.471454284514344,68.66448958100517,359.8,10.8,,
,1518815740514000,,,32.2,3.0,0.0,,,,64.855352,-147.85857,168.0,38.471454284514344,68.66448958100517,359.8,10.8,,
,1518815740601000,,,32.2,3.2,0.0,,,,64.855352,-147.85857,168.4,38.471454284514344,68.66448958100517,359.8,10.600000000000001,,
,1518815740705000,,,32.2,3.2,0.0,,,,64.855352,-147.85857,168.7,38.471454284514344,68.66448958100517,359.8,10.600000000000001,,
,1518815740801000,,,32.2,3.1,0.0,,,,64.855352,-147.85857,169.0,38.471454284514344,68.66448958100517,359.8,10.700000000000001,,
,1518815740894000,,,32.2,3.1,0.0,,,,64.855352,-147.85857,169.2,38.471454284514344,68.66448958100517,359.8,10.700000000000001,,
,1518815741019000,,,32.2,3.2,0.0,,,,64.855352,-147.85857,169.5,38.471454284514344,68.66448958100517,359.8,10.600000000000001,,
,1518815741174000,,,32.2,3.1,0.0,,,,64.855352,-147.85857,169.9,38.471454284514344,68.66448958100517,359.8,10.700000000000001,,
,1518815741205000,,,32.2,3.1,0.0,,,,64.855352,-147.85857,170.2,38.471454284514344,68.66448958100517,359.8,10.5,,
,1518815741290000,,,32.2,3.2,0.0,,,,64.855352,-147.85857,170.5,38.471454284514344,68.66448958100517,359.8,10.100000000000001,,
,1518815741396000,,,32.2,3.3,0.0,,,,64.855352,-147.85857,170.7,38.471454284514344,68.66448958100517,359.8,7.8,,
,1518815741493000,,,32.2,3.3,0.0,,,,64.855352,-147.85857,171.0,38.471454284514344,68.66448958100517,359.8,5.000000000000001,,
,1518815741594000,,,32.2,3.4,0.0,,,,64.855352,-147.85857,171.4,38.471454284514344,68.66448958100517,359.8,1.6,,
,1518815741728000,,,32.2,3.3,0.0,,,,64.855352,-147.85857,171.7,38.471454284514344,68.66448958100517,359.8,-1.5999999999999999,,
,1518815741791000,,,32.2,3.2,0.0,,,,64.855352,-147.858571,172.0,38.471454284514344,68.66448958100517,359.8,-4.800000000000001,,
,1518815741905000,,,32.2,3.2,0.0,,,,64.855352,-147.858571,172.2,38.471454284514344,68.66448958100517,359.8,-8.2,,
,1518815741995000,,,32.2,3.2,0.0,,,,64.855352,-147.858571,172.5,38.471454284514344,68.66448958100517,359.8,-11.5,,
,1518815742142000,,,32.2,3.3,0.0,,,,64.855352,-147.858571,172.9,38.471454284514344,68.66448958100517,359.8,-14.899999999999999,,
,1518815742217000,,,32.2,3.3,0.0,,,,64.855352,-147.858571,173.2,38.471454284514344,68.66448958100517,359.8,-18.4,,
,1518815742316000,,,32.2,3.2,0.0,,,,64.855352,-147.858571,173.5,38.471454284514344,68.66448958100517,359.8,-21.9,,
,1518815742392000,,,32.2,3.1,0.0,,,,64.855352,-147.858571,173.7,38.471454284514344,68.66448958100517,359.8,-25.3,,
,1518815742627000,,,32.2,3.1,0.0,,,,64.855353,-147.858571,174.0,38.471454284514344,68.66448958100517,359.8,-29.1,,
,1518815742655000,,,32.2,3.1,0.0,,,,64.855353,-147.858571,174.4,38.471454284514344,68.66448958100517,359.8,-32.9,,
,1518815742797000,,,32.2,3.1,0.0,,,,64.855353,-147.858571,175.0,38.471454284514344,68.66448958100517,359.8,-41.0,,
,1518815742897000,,,32.2,3.3,0.0,,,,64.855353,-147.858571,175.4,38.471454284514344,68.66448958100517,359.8,-45.199999999999996,,
,1518815743034000,,,32.2,3.4,0.0,,,,64.855353,-147.858571,175.7,38.471454284514344,68.66448958100517,359.8,-49.3,,
,1518815743169000,,,32.2,3.3,0.0,,,,64.855353,-147.858571,176.0,38.471454284514344,68.66448958100517,359.8,-53.3,,
,1518815743250000,,,32.2,3.2,0.0,,,,64.855353,-147.858571,176.2,38.471454284514344,68.66448958100517,359.8,-57.2,,
,1518815743312000,,,32.2,3.2,0.0,,,,64.855353,-147.858571,176.5,38.471454284514344,68.66448958100517,359.8,-61.400000000000006,,
,1518815743399000,,,32.2,3.1,0.0,,,,64.855353,-147.858571,176.9,38.471454284514344,68.66448958100517,359.8,-65.3,,
,1518815743497000,,,32.2,3.2,0.0,,,,64.855353,-147.858571,177.2,38.471454284514344,68.66448958100517,359.8,-69.2,,
,1518815743598000,,,32.2,3.3,0.0,,,,64.855353,-147.858571,177.5,38.471454284514344,68.66448958100517,359.8,-71.2,,
,1518815743701000,,,32.2,3.3,0.0,,,,64.855353,-147.858571,177.7,38.471454284514344,68.66448958100517,359.8,-72.2,,
,1518815743800000,,,32.2,3.5,0.0,,,,64.855353,-147.858571,178.0,38.471454284514344,68.66448958100517,359.8,-72.4,,
,1518815743894000,,,32.2,3.5,0.0,,,,64.855353,-147.858571,178.4,38.471454284514344,68.66448958100517,359.8,-72.4,,
,1518815743997000,,,32.2,3.5,0.0,,,,64.855353,-147.858571,178.7,38.471454284514344,68.66448958100517,359.8,-72.4,,
,1518815744099000,,,32.2,3.6,0.0,,,,64.855353,-147.858571,179.0,38.471454284514344,68.66448958100517,359.8,-72.5,,
,1518815744208000,,,32.2,3.6,0.0,,,,64.855353,-147.858571,179.2,38.471454284514344,68.66448958100517,359.8,-72.5,,
,1518815744307000,,,32.1,3.6,0.0,,,,64.855353,-147.858571,179.5,38.471454284514344,68.66448958100517,359.9,-72.5,,
,1518815744392000,,,32.1,3.5,0.0,,,,64.855353,-147.858571,179.9,38.471454284514344,68.66448958100517,359.9,-72.4,,
